Board,Class,Subject,Chapter Name
CBSE,1,Mathematics,Numbers from 1 to 9
CBSE,1,Mathematics,Numbers from 10 to 20
CBSE,1,Mathematics,Addition
CBSE,1,Mathematics,Subtraction
CBSE,1,Mathematics,Shapes Around Us
CBSE,1,Mathematics,Money
CBSE,1,Mathematics,Time
CBSE,1,Mathematics,Measurement
CBSE,1,The World Around Us,My Body
CBSE,1,The World Around Us,My Family
CBSE,1,The World Around Us,Animals Around Us
CBSE,1,The World Around Us,Plants Around Us
CBSE,1,The World Around Us,Food We Eat
CBSE,1,The World Around Us,Water
CBSE,1,The World Around Us,Day and Night
CBSE,1,English,Alphabet A to M
CBSE,1,English,Alphabet N to Z
CBSE,1,English,Vowels and Consonants
CBSE,1,English,Naming Words
CBSE,1,English,Action Words
CBSE,1,English,Simple Sentences
CBSE,2,Mathematics,Numbers up to 100
CBSE,2,Mathematics,Place Value
CBSE,2,Mathematics,Addition with Carrying
CBSE,2,Mathematics,Subtraction with Borrowing
CBSE,2,Mathematics,Multiplication Tables 2-5
CBSE,2,Mathematics,Patterns
CBSE,2,Mathematics,Money Counting
CBSE,2,Mathematics,Telling Time
CBSE,2,Mathematics,Measurement
CBSE,2,The World Around Us,Living and Non-Living
CBSE,2,The World Around Us,Plants and Their Parts
CBSE,2,The World Around Us,Animals and Their Homes
CBSE,2,The World Around Us,Air Around Us
CBSE,2,The World Around Us,Water Cycle
CBSE,2,The World Around Us,Healthy Food
CBSE,2,The World Around Us,Safety Rules
CBSE,2,The World Around Us,Seasons
CBSE,2,English,Capital and Small Letters
CBSE,2,English,Punctuation
CBSE,2,English,Singular and Plural
CBSE,2,English,Opposites
CBSE,2,English,Rhyming Words
CBSE,2,English,Reading Comprehension
CBSE,2,English,Simple Writing
CBSE,2,English,Words and Meanings
CBSE,3,Mathematics,Numbers up to 1000
CBSE,3,Mathematics,Addition and Subtraction
CBSE,3,Mathematics,Multiplication
CBSE,3,Mathematics,Division
CBSE,3,Mathematics,Fractions
CBSE,3,Mathematics,Measurement
CBSE,3,Mathematics,Money
CBSE,3,Mathematics,Time and Calendar
CBSE,3,Mathematics,Geometry
CBSE,3,Science,Plants - Parts and Functions
CBSE,3,Science,"Animals - Birds, Insects, Fish"
CBSE,3,Science,Our Body
CBSE,3,Science,Food and Health
CBSE,3,Science,"Air, Water, Weather"
CBSE,3,Science,Materials Around Us
CBSE,3,Science,The Earth and Sun
CBSE,3,Science,Light and Shadow
CBSE,3,English,Nouns and Pronouns
CBSE,3,English,Verbs
CBSE,3,English,Adjectives
CBSE,3,English,Tenses Basic
CBSE,3,English,Reading Comprehension
CBSE,3,English,Letter Writing
CBSE,3,English,Story Reading
CBSE,3,English,Poetry
CBSE,4,Mathematics,Numbers up to 10000
CBSE,4,Mathematics,Roman Numerals
CBSE,4,Mathematics,Multiplication and Division
CBSE,4,Mathematics,Fractions and Decimals
